Wall time,Step,Value
1731811068.7817378,0,1.3007681369781494
1731811068.788622,1,1.1997052431106567
1731811068.7907236,2,1.113637089729309
1731811068.7907236,3,1.038170576095581
1731811068.8356724,4,0.9728166460990906
1731811068.8828595,5,0.9149361848831177
1731811068.9166758,6,0.8626998662948608
1731811068.9247174,7,0.8151800036430359
1731811068.9313588,8,0.7719779014587402
1731811068.9313588,9,0.7331809997558594
1731811068.9458683,10,0.696908712387085
1731811068.9749312,11,0.6628912687301636
1731811068.9862103,12,0.6310006380081177
1731811068.9911191,13,0.5999419093132019
1731811068.9911191,14,0.5698673725128174
1731811069.0272462,15,0.5404905676841736
1731811069.0382357,16,0.5114582777023315
1731811069.0403202,17,0.4830075800418854
1731811069.0571594,18,0.45503997802734375
1731811069.0875049,19,0.4278670847415924
1731811069.0918436,20,0.40121743083000183
1731811069.1069841,21,0.37536799907684326
1731811069.1119804,22,0.3501349091529846
1731811069.1415298,23,0.3255463242530823
1731811069.1472766,24,0.30162113904953003
1731811069.1581626,25,0.27862441539764404
1731811069.1629436,26,0.2565512955188751
1731811069.190428,27,0.23546499013900757
1731811069.2006521,28,0.21529421210289001
1731811069.20572,29,0.19624845683574677
1731811069.214741,30,0.17825505137443542
1731811069.217269,31,0.16119296848773956
1731811069.2478802,32,0.14519165456295013
1731811069.2591536,33,0.13035061955451965
1731811069.2665145,34,0.11642304062843323
1731811069.2751973,35,0.10349313914775848
1731811069.3000474,36,0.09143449366092682
1731811069.3102913,37,0.08026649057865143
1731811069.317302,38,0.07012207061052322
1731811069.3372426,39,0.06085481494665146
1731811069.3534794,40,0.05247223377227783
1731811069.361956,41,0.04508107528090477
1731811069.3685172,42,0.03851836919784546
1731811069.3722718,43,0.03272391855716705
1731811069.4032693,44,0.0276587326079607
1731811069.4061487,45,0.02330576814711094
1731811069.4172156,46,0.019621554762125015
1731811069.4252315,47,0.01653703860938549
1731811069.4491591,48,0.014011196792125702
1731811069.4562407,49,0.011953268200159073
1731811069.4653504,50,0.010302668437361717
1731811069.4781003,51,0.008997353725135326
1731811069.481064,52,0.007963588461279869
1731811069.4882727,53,0.007153084967285395
1731811069.49404,54,0.006490546278655529
1731811069.4978912,55,0.0059228818863630295
1731811069.5049455,56,0.0054345810785889626
1731811069.5102656,57,0.00502433255314827
1731811069.5174663,58,0.004658258054405451
1731811069.5236924,59,0.004316210746765137
1731811069.526494,60,0.003983531147241592
1731811069.526494,61,0.0036616534925997257
1731811069.5438194,62,0.0033458112739026546
1731811069.5471594,63,0.0030400599353015423
1731811069.5790143,64,0.0027363987173885107
1731811069.5910447,65,0.002436073962599039
1731811069.6192544,66,0.002143985591828823
1731811069.627873,67,0.0018634798470884562
1731811069.63387,68,0.0015979853924363852
1731811069.6552894,69,0.0013522484805434942
1731811069.6653106,70,0.0011357120238244534
1731811069.6791196,71,0.0009478565771132708
1731811069.6791196,72,0.0007884645601734519
1731811069.6929443,73,0.0006557245505973697
1731811069.7227492,74,0.0005477882223203778
1731811069.7244058,75,0.00046341208508238196
1731811069.7525556,76,0.0003982502967119217
1731811069.772962,77,0.0003494790871627629
1731811069.7841089,78,0.00031411470263265073
1731811069.7981174,79,0.0002883697161450982
1731811069.8080015,80,0.00026792677817866206
1731811069.8299422,81,0.0002504069125279784
1731811069.8474717,82,0.00023432375746779144
1731811069.8660488,83,0.00021853370708413422
1731811069.8924427,84,0.00020179350394755602
1731811069.9034536,85,0.00018367290613241494
1731811069.9124892,86,0.00016488612163811922
1731811069.9237077,87,0.00014643400209024549
1731811069.9403386,88,0.00012928359501529485
1731811069.956718,89,0.00011381503281882033
1731811069.9730036,90,0.00010004876094171777
1731811069.9792063,91,8.792385051492602e-05
1731811069.9858606,92,7.739537977613509e-05
1731811069.9909153,93,6.858717824798077e-05
1731811070.0234008,94,6.164762453408912e-05
1731811070.0344129,95,5.640554809360765e-05
1731811070.042174,96,5.2447929192567244e-05
1731811070.0482907,97,4.9168229452334344e-05
1731811070.0532887,98,4.62529860669747e-05
1731811070.0793083,99,4.352409814600833e-05
